,Empresa,nome,count_x,count_y,proporcao_nomes_por_qtde_socios
8012,Clicksoftware Brazil Solucoes em Gestao de Forcas de Trabalho Ltda.,Biar,1,2,50.0
8018,"Clifford Chance Sociedade de Consultores em Direito Estrangeiro/Direito Ingles, do Pais de Gales e Norte-Americano",Andrade,1,3,33.33333333333333
8028,Climapress Tecnol em Sistemas de Ar Condicionado Ltda.,Climapress/Pro,1,1,100.0
8031,"Climoar Comercial, Importadora e Servicos Ltda.",Carlos,1,2,50.0
8039,Clinica Adriana Vilarinho Ltda.,Dias,1,2,50.0
8046,Clinica Fares Sociedade Ltda.,Adiel,1,3,33.33333333333333
8050,Clinica Medica Sao Germano Ltda.,Almeida,3,15,20.0
8099,Clinica de Nefrologia Santa Rita Ltda.,Brasnefro,1,1,100.0
8101,Clinica de Olhos Dr.Moacir Cunha S.A.,Cunha,2,2,100.0
8106,Clinica e Nefrologia Leste Ltda.,Administracao,1,1,100.0
8108,Clinicas Odontologicas 5Mshx Ltda.,5Mshx,1,1,100.0
8109,Clinipace Pesquisas Clinicas do Brasil Ltda.,Clinipace,1,1,100.0
8111,Clins Comercial e Servicos Ltda.,Ferreira,1,2,50.0
8114,Clm Construcoes e Empreendimentos Imobiliarios Ltda.,Botucatu,1,2,50.0
8121,Cln Solution - Solucoes em Servicos Ltda.,Campos,1,1,100.0
8125,Cloudera Software Brasil Ltda.,Cloudera,1,1,100.0
8127,Cloudwalk Instituicao de Pagamento e Servicos Ltda.,Cloudwalk,1,2,50.0
8134,Clovis Atacadista Eireli em Recuperacao Judicial,Ailton,1,1,100.0
8138,Club Mais Administradora de Cartoes Ltda.,Avenida,2,2,100.0
8144,Cm Construcao Civil e Planejamento Ltda.,Mecca,2,2,100.0
8149,Cmb Construtora Moraes Brasil Ltda.,Moraes,3,3,100.0
8152,Cmberrini Veiculos Ltda.,American,1,2,50.0
8159,Cmd-Ab Comercio de Veiculos Seminovos Ltda.,Dahruj,2,2,100.0
8161,Cmo Construcao e Montagem Offshore S.A.,Cmi,1,3,33.33333333333333
8166,Cna Construcoes Ltda.,Antonia,1,1,100.0
8171,Cnc Consultoria em Cobranca Ltda.,Alves,1,1,100.0
8175,Cnc Servicos de Apoio Empresarial Ltda.,Adriana,1,6,16.666666666666664
8195,Cntt - Clinica de Nefrologia e Transplante Renal do Tatuape Ltda.,Assistencia,1,1,100.0
8199,Cobizz - Rede de Negocios e Marketing Direto Ltda.,Arduino,1,1,100.0
8202,Cobrirel Industria e Comercio Ltda.,(79.62%),1,1,100.0
8206,Coddera Software Ltda.,Cesar,1,3,33.33333333333333
8213,Code It Solutions Consultoria em Desenvolvimento de Software Ltda.,Objective,1,1,100.0
8224,Codeminer42 Servicos de Informatica Ltda.,Oliveira,2,4,50.0
8230,Coelho da Fonseca Empreendimentos Imobiliarios Ltda.,Coelho,2,2,100.0
8234,Coface do Brasil Servicos de Gerenciamento de Credito Ltda.,America,1,2,50.0
8240,Cognita Brasil Participacoes Ltda.,Cognita,2,2,100.0
8245,Colaborar Comercio de Produtos Eletronicos Ltda.,Durao,1,1,100.0
8251,Cold Control Ar Condicionado Ltda.,Mazzoni,2,2,100.0
8256,Colegio Ab Sabin Ltda.,Godoi,2,2,100.0
8264,Colegio Alicerce Ensino Medio Ltda.,Prado,2,3,66.66666666666666
8265,Colegio Alves & Fernandes Ltda.,Mariana,1,1,100.0
8268,Colegio Amorim Ltda.,Adriana,1,1,100.0
8272,Colegio Augusto Heloi Ltda.,Ferreira,1,1,100.0
8276,Colegio Barreto Gurian Ltda.,Alex,1,2,50.0
8281,Colegio Beka Ltda.,Cristiane,1,1,100.0
8285,Colegio Caetano Alvares Ltda.,Borriello,2,2,100.0
8290,Colegio Campo Belo - Bem Querer Ltda.,Caleiro,3,3,100.0
8298,Colegio Canello Marques Ltda.,Braga,1,1,100.0
8302,Colegio Conde Domingos Ltda.,Agostino,1,1,100.0
8308,Colegio Conquista S/S Ltda.,Araujo,2,2,100.0
8313,Colegio Cristao Florida Ltda.,Luizeth,1,1,100.0
8317,Colegio Dominucho Ltda.,Bernardo,2,2,100.0
8321,Colegio Dominus Vivendi Ltda.,Helena,1,1,100.0
8324,Colegio Elim Ltda.,Chen,1,1,100.0
8331,Colegio Elvira Linares S/S Ltda.,Moreno,2,2,100.0
8336,Colegio Esperanto Ltda.,Schiavon,3,3,100.0
8337,Colegio Fundamental Maria Conceicao Imaculada Ltda.,Maria,1,1,100.0
8341,Colegio Futuro Feliz Ltda.,Carvalho,1,2,50.0
8346,Colegio Futuro Presente Ltda.,Claudio,1,1,100.0
8348,Colegio Giordano Bruno Ltda.,Andrea,1,6,16.666666666666664
8371,Colegio Guarapiranga Ltda.,Peixoto,2,2,100.0
8374,"Colegio Guararapes de Ensino Educacao Infantil, Fundamental e Medio Ltda.",Figueiredo,2,2,100.0
8379,Colegio Guilherme Dumont Villares S/S Ltda.,Aun,2,2,100.0
8386,Colegio Integracao Ltda. (São Paulo),Miranda,3,3,100.0
8395,Colegio Interacao Modelo S/S Ltda.,Silva,2,2,100.0
8399,Colegio J.B Ltda.,Botelho,5,5,100.0
8409,Colegio Johann Gauss Ltda.,Alice,1,1,100.0
8415,Colegio Madrid Ltda.,Ferreira,2,2,100.0
8420,Colegio Martins de Freitas Ltda.,Freitas,1,1,100.0
8423,Colegio Miranda & Santos Ltda.,Cristina,1,1,100.0
8430,Colegio Miranda Ltda.,Colegio,2,3,66.66666666666666
8435,Colegio Mobile Ltda.,Bresser,2,3,66.66666666666666
8444,Colegio Monte Virgem Ltda.,Alves,1,4,25.0
8460,Colegio Morales Lopes Ltda.,Lopes,2,2,100.0
8466,Colegio Morumbi Ltda.,Garcia,2,3,66.66666666666666
8472,Colegio Nossa Senhora do Carmo Ltda. (São Paulo),Dantas,2,2,100.0
8480,Colegio Orion & Passinho Seguro S/S Ltda.,Faria,2,2,100.0
8485,Colegio Palavra Viva S.A.,Alianca,1,1,100.0
8488,Colegio Pauliceia Ltda.,Carmen,1,1,100.0
8495,Colegio Pereira Lopes Ltda.,Lopes,3,3,100.0
8503,Colegio Poly Master Educacao Infantil e Ensino Fundamental Ss Ltda.,Monteiro,2,2,100.0
8508,Colegio Primo Tapia Ltda.,Goncalves,2,4,50.0
8517,Colegio Pro Saber Bio Sociedade Simples Ltda.,Bio,5,5,100.0
8527,Colegio Rama Ss Ltda.,Cassio,1,2,50.0
8533,Colegio Reino do Ensino Ltda.,Ambrosio,1,1,100.0
8537,Colegio Renovacao Ltda.,Decisao,1,1,100.0
8543,Colegio Salgueirinho Sociedade Simples - Ltda.,Santos,2,2,100.0
8545,Colegio Santa Marina Eireli,Gaspar,1,1,100.0
8548,Colegio Santa Rita de Cassia Ltda.,Costa,1,1,100.0
8556,Colegio Sao Judas Tadeu Ltda.,Mesquita,4,4,100.0
8564,Colegio Sapucaia Ltda.,Guerra,2,2,100.0
8570,Colegio Sena de Miranda Ltda.,Miranda,4,4,100.0
8575,Colegio Sergio Buarque de Holanda Ltda.,Alvim,1,3,33.33333333333333
8589,Colegio Soter Ltda.,Cardoso,2,2,100.0
8599,Colegio Super Nova Geracao Ltda.,Mathieson,2,2,100.0
8602,Colegio Tecla Ltda.,Jasulaitis,2,2,100.0
8605,Colegio Tobias de Aguiar Ltda.,Adeneia,1,2,50.0
8612,Colegio Tolstoi Ltda.,Alves,2,6,33.33333333333333
8633,Colegio Victorino Ltda.,Antonio,1,1,100.0
8637,Colegio Vida Nova Ltda.,Coelho,1,1,100.0
8642,Columbia Comercio de Descartaveis Ltda.,Alexandre,1,1,100.0
8645,Columbia Supri Comercio Ltda.,Bianco,1,1,100.0
8648,Columbia Tristar Filmes do Brasil Ltda.,Brasil,1,2,50.0
8657,Comahose - Comercio de Materiais Hospitalares e Servicos Ltda.,Anna,1,2,50.0
8674,"Comap Consultoria, Marketing e Planejamento Ltda.",Motta,2,4,50.0
8676,Comar Industria e Comercio de Roupas Ltda.,Kr,1,1,100.0
8678,Comarch Sistemas Ltda.,Aktiengesellschaft,2,2,100.0
8683,Comark Veiculos Ltda.,(91.49%),1,1,100.0
8694,Comati Locadora de Equipamentos Ltda.,Pereira,2,2,100.0
8696,Comba Industria e Comercio de Equipamentos de Telecomunicacoes Ltda.,Comba,2,2,100.0
8700,Combustol Industria e Comercio Ltda.,Fortec,1,2,50.0
8715,Combustran Derivados de Petroleo Ltda.,Pires,4,8,50.0
8722,Comercial 3 Albe Ltda.,Alberto,2,2,100.0
8727,Comercial Agricola Kazuo Ltda.,Costa,1,2,50.0
8739,Comercial Arte-Vida de Alimentos Ltda.,Oliveira,2,2,100.0
8740,Comercial Barcelos Eireli,Alvaro,1,1,100.0
8743,Comercial Commed Produtos Hospitalares Ltda.,Comercial,1,1,100.0
8755,Comercial Eletrica Aricanduva Ltda.,Uehara,5,5,100.0
8762,Comercial Ficael Ltda.,Terzian,2,3,66.66666666666666
8763,Comercial Importacao e Exportacao Cantareira Ltda.,Gonzalez,2,2,100.0
8771,Comercial Kanguru Ltda.,Jeronimo,2,2,100.0
8775,Comercial Luzia Meire de Generos Alimenticios Ltda.,Lousa,3,3,100.0
8790,Comercial Nickys de Artigos Esportivos Ltda.,Yezeguielian,5,5,100.0
8791,Comercial Nova e Park Estacionamento Ltda.,Frulani,1,1,100.0
8794,Comercial Paulista de Baterias Ltda.,Moura,1,1,100.0
8801,Comercial Pontelac Ltda.,Sessin,4,4,100.0
8806,Comercial Rimar Ltda.,Morales,3,3,100.0
8812,Comercial Semaan Ltda.,Semaan,2,2,100.0
8815,Comercial Takara Pirituba Ltda.,Takara,2,2,100.0
8822,Comercial Tateno Delihouse Ltda.,Hoshino,2,6,33.33333333333333
8832,Comercial Terra Azul Idiomas Ltda.,Ferreira,2,2,100.0
8836,Comercial de Alimentos Caminho Ltda.,Alessandro,1,1,100.0
8842,Comercial de Alimentos Takara Mutinga Ltda.,Takara,2,2,100.0
8843,Comercial de Ferro e Aco Labatut Ltda. Ltda.,Boscolo,1,1,100.0
8851,Comercial de Veiculos de Nigris Ltda.,Nigris,5,5,100.0
8858,Comercial de Ziperes e Armarinhos 25 Ltda.,Gouveia,3,4,75.0
8869,Comercial e Construcoes Prandix Ltda.,Prandi,2,3,66.66666666666666
8873,Comercial e Incorporadora Fresno S.A.,Administradora,1,2,50.0
8886,Comercial e Servicos Pcl Ltda.,Silva,2,2,100.0
8887,Comercio Importacao e Exportacao de Frutas Crisfrut Ltda.,Administracao,1,2,50.0
8898,Comercio Varejista de Mercadorias 3M Ltda.,Martins,3,3,100.0
8899,Comercio de Alimentos Santa Cruz Ltda.,Aoki,2,2,100.0
8904,Comercio de Aparas de Papel Adriana Ltda.,Eduardo,1,2,50.0
8910,Comercio de Calcados Di Gaspi II Ltda.,Gaspi,2,2,100.0
8912,Comercio de Confeccoes Ciapaulista Ltda.,Fiore,1,1,100.0
8914,Comercio de Equipamentos Norte Sul Ltda.,Comercio,1,2,50.0
8921,Comercio de Gesso e Servicos Taylor Ltda.,Antonia,1,1,100.0
8925,Comercio de Metais Lotus Eireli,David,1,1,100.0
8929,Comercio e Importacao Erecta Ltda.,Baumer,3,11,27.27272727272727
8950,Compacto Artes Graficas Ltda.,Nakamura,1,1,100.0
8953,Companhia Energética Santa Clara,Sob,1,1,100.0
8955,Companhia Fiacao e Tecidos Guaratingueta,Bonora,1,1,100.0
8957,Companhia Metalurgica Estampex,(12.50%),4,5,80.0
8969,Companhia Metro Norte,Consorcio,1,1,100.0
8976,Company Ballet Ltda.,Leite,3,3,100.0
8982,Company Seguranca e Vigilancia S/S Ltda.,Gois,2,2,100.0
8985,Compara Online Corretora de Seguros e Servicos de Informatica Ltda.,Compara,2,2,100.0
8992,Compasso Servicos em Construcao Civil Ltda.,Saspadini,2,2,100.0
8997,Compec Galasso Engenharia e Construcoes Ltda.,Consorcio,5,5,100.0
9008,Compel Automotiva Ltda.,Gemic,1,2,50.0
9016,Competition Academia Ltda.,Pace,3,5,60.0
9019,Compex Tecnologia Ltda.,Lee,2,2,100.0
9024,Complexo Hospitalar J.S.J.Ltda.,Ali,1,1,100.0
9030,Compugraf Seguranca Digital Ltda.,Carlos,2,5,40.0
9044,Compuware Software do Brasil Ltda.,Bmc,1,1,100.0
9048,"Comsa Infra-Estruturas, Instalacoes e Sistemas Ltda.",Comsa,2,4,50.0
9052,Comscore Brazil Ltda.,Carmenere,1,2,50.0
9056,Comstar Veiculos Ltda.,Bessa,3,3,100.0
9063,"Comviva Technologies do Brasil Industria, Comercio, Importacao e Exportacao Ltda.",Comviva,2,2,100.0
9066,Conair Comercializacao do Brasil Ltda.,Ci,1,2,50.0
9072,Conam - Consultoria Ambiental Ltda.,Couto,1,2,50.0
9078,Conan Servicos de Portaria e Parqueamento Ltda.,Adleuza,1,1,100.0
9081,Conaprole do Brasil Comercial Importadora e Exportadora Ltda.,Conaprole,1,1,100.0
9086,Conarcolor Pinturas Tecnicas Ltda.,Angel,1,1,100.0
9089,Conaupro Servicos Contabeis Ltda.,Barros,1,4,25.0
9105,Conceicao Bem Casados Ltda.,Amaral,2,2,100.0
9111,Conceito Internacao Medica Domiciliar Ltda.,Aparecida,1,2,50.0
9117,Conceitual Assessoria Contabil Ltda.,Roberto,1,1,100.0
9120,Concept Agencia de Comunicacao Ltda.,Ideal,1,1,100.0
9123,Concert Technologies S.A.,Consorcio,3,5,60.0
9132,Concessionaria A Hora de Sao Paulo Ltda.,Brasil,1,2,50.0
9137,Concrecity Prestacao de Servicos em Concreto Ltda.,Administracao,1,3,33.33333333333333
9145,Condominio Residencial Ecopark Ltda.,Imobiliario,3,3,100.0
9149,Condominium Prime Comercio e Servicos de Produtos Eletronicos Ltda.,Angela,1,1,100.0
9152,Condovel Servicos Especiais Eireli,Berzoti,1,1,100.0
9155,Conduent Consultoria e Servicos de Recursos Humanos Ltda.,Conduent,2,3,66.66666666666666
9164,Conel Construtora Ltda.,Acm,1,3,33.33333333333333
9168,Conesteel Valvulas Industriais Ltda.,Fernandes,1,1,100.0
9175,Conexao Montagens Tecnicas Ltda.,Pires,2,2,100.0
9177,"Confeccao Tchelli S, Vestuarios, Servicos e Comercio Eireli",Baccelli,1,1,100.0
9180,Confeccoes Alta Moda Ltda.,Akkari,2,2,100.0
9183,Confeccoes Costume Ltda.,Barros,1,3,33.33333333333333
9194,Confeccoes Ferraz Ltda.,Ferraz,2,3,66.66666666666666
9204,Confeccoes Fredy Ltda. Filial,Hodara,3,3,100.0
9209,Confeccoes Mrs Atual Ltda.,Choon,1,2,50.0
9217,Confeccoes Princesa Catarina Ltda.,Dontos,5,5,100.0
9231,Confeccoes Shiroma Ltda.,Shiroma,9,9,100.0
9236,Confeccoes Talita Kume Ltda.,Luciano,1,1,100.0
9238,Confeccoes de Roupas Global Co.Ltda.,Dajij,1,1,100.0
9239,Confeccoes de Roupas Lsk Ltda.,Jin,1,2,50.0
9245,Confeccoes de Roupas Seiki Sociedade Unipessoal Ltda.,Chung,1,1,100.0
9250,Confeitaria Vera Cruz Ltda.,Barros,2,4,50.0
9259,Confeitaria e Rotisseria Iracema Ltda.,Bianca,1,1,100.0
9264,Confetti Industria e Comercio Ltda.,Regina,1,1,100.0
9268,Confirma Assessoria Contabil e Empresarial Ltda.,Alves,1,1,100.0
9271,Confluence Solucoes em Informatica Ltda.,Bridger,1,2,50.0
9277,Conforlab Engenharia Ambiental Ltda.,Cozac,1,1,100.0
9281,Congonhas Travel Viagens e Turismo Ltda.,Alves,1,3,33.33333333333333
9293,Conilrem Comercio de Alimentos Ltda. Filial,Borges,2,2,100.0
9300,Conline Sinalizacao Viaria Ltda.,Apx,1,2,50.0
9303,Connect Infraestrutura Manutencao e Servicos Prediais Ltda.,Eduardo,1,2,50.0
9308,Connection Call Brasil Teleatendimento Ltda.,Gabbai,2,2,100.0
9311,Conquestone It Services Br Ltda.,Paticipacao,1,1,100.0
9318,Conquista Empreiteira de Mao-de-Obra Ltda.,Rodrigues,2,2,100.0
9319,Conquista Fundacoes e Construcoes Eireli,Jose,1,1,100.0
9322,Consdoc Processamento de Dados Ltda.,Autodoc,1,1,100.0
9327,Conser Alimentos Ltda.,Silva,2,2,100.0
9329,Consiglog Tecnologia e Solucoes Ltda.,Alves,1,5,20.0
9341,Consitec Engenharia e Tecnologia Ltda.,Duque,2,2,100.0
9351,Consmat Fornecedora de Materiais Para Construcoes Ltda.,Orlando,3,3,100.0
9353,Consorcio Adtranz - Tsea Linha 13 - Jade,(São,1,2,50.0
9365,Consorcio Ag/Cr Almeida,Almeida,1,1,100.0
9369,Consorcio Alumini- Icsk-Fjepc,Alumini,1,2,50.0
9376,Consorcio Andrade Gutierrez / Oas,Coesa,1,1,100.0
9379,Consorcio Camargo Correa / Constran - Programa de Mobilidade Urbana,Camargo,1,2,50.0
9386,Consorcio Carioca Cetenco,Cetenco,1,1,100.0
9388,Consorcio Cetenco - Brasilia Guaiba,Brasilia,1,2,50.0
9397,Consorcio Cobrape-Stcp Viva Maranhao,Projetos,2,2,100.0
9399,Consorcio Cobrape-Vizca.,Cia.Brasileira,1,2,50.0
9406,Consorcio Construtor Viracopos,Comercio,1,2,50.0
9415,Consorcio Contracta - Engefel -Mpo,Engenharia,2,2,100.0
9417,Consorcio Cr Almeida-Consbem,Almeida,1,2,50.0
9424,Consorcio Dl Ductor-Arcadis Logos,Arcadis,1,2,50.0
9429,Consorcio Dpg - Santa Cruz,Barros,1,2,50.0
9436,Consorcio Dynatest - Contecnica - Planservi - Lenc.,Consultoria,2,3,66.66666666666666
9443,Consorcio Encalso - Convap,Construcoes,1,2,50.0
9450,Consorcio Er-Saude,Engenharia,2,2,100.0
9452,Consorcio Estacon - Paulitec,Construcoes,1,1,100.0
9454,Consorcio Expresso Linha 6,Comercio,1,2,50.0
9459,Consorcio Expresso Monotrilho Leste,Alstom,1,3,33.33333333333333
9471,Consorcio Falcao Bauer - Lbr - Contecnica,Consultoria,2,3,66.66666666666666
9481,Consorcio Gspv Linha 9,Engenharia,3,3,100.0
9485,Consorcio Hfts Jade - Lote 3,Construtecnica,1,2,50.0
9491,Consorcio Lbr-Hagaplan,Engenharia,2,2,100.0
9495,Consorcio Lbr/Strata,Engenharia,2,2,100.0
9497,Consorcio Linha 17 - Ouro,Barros,1,3,33.33333333333333
9506,Consorcio Mobilidade Sbc,Coesa,1,2,50.0
9513,Consorcio Nacional de Licitacao Hqz Ltda.,Lucia,1,1,100.0
9517,Consorcio Panamby,Comercio,1,2,50.0
9522,Consorcio Pdj,Associados,1,3,33.33333333333333
9543,Consorcio S.A.Paulo de Fiscalizacao Automatica de Transito,Tecnologia,2,4,50.0
9544,Consorcio Saude Log,Express,1,1,100.0
9547,Consorcio Shopping Metro Tucuruvi,2016,1,2,50.0
9554,Consorcio Sp-345,Comsa,1,3,33.33333333333333
9561,Consorcio Telar / Trail / Augusto Velloso,Augusto,1,3,33.33333333333333
9569,Consorcio Ths Esmeralda,Construtecnica,1,3,33.33333333333333
9576,Consorcio Tiisa/Consbem/Serveng,Associadas,1,3,33.33333333333333
9587,Consorcio Ts - Manutencao Linhas 8 e 9,Engenharia,1,2,50.0
9591,Consorcio Ttbs Itaquaquecetuba,Administracao,1,6,16.666666666666664
9606,Consorcio Urbanizar Sao Paulo,Engenharia,2,2,100.0
9607,Consorcio Via Aerea,Infraestrutura,1,1,100.0
9609,Consorcio Via Amarela,Alstom,1,4,25.0
9621,Consorcio Via Planova II,Construções,1,2,50.0
9629,Consorcio Viario Mogi,Engenharia,2,2,100.0
9632,Consorcio Villanova-Scopus,Ambiental,1,2,50.0
9639,Consorcio Vlt - Rmbs,Agis,2,4,50.0
9648,Conspiracao Filmes S.A. Filial,Conspiracao,3,3,100.0
9656,Construamb Construcoes Comercio e Servicos Ltda.,Benedito,1,2,50.0
9666,"Construcia - Arquitetura, Engenharia e Construcao Ltda.",David,2,2,100.0
9674,Construclima Engenharia e Instalacoes Ltda.,Ruba,2,2,100.0
9676,Construgar Construtora Ltda.,Daniel,1,2,50.0
9683,Construlev Industria e Comercio de Plasticos Ltda.,Adalton,1,2,50.0
9689,Construmag Projetos e Construcoes Ltda.,Garcia,2,2,100.0
9694,Construmaki Construcoes Ltda.,Clementino,1,2,50.0
9705,Construmaper - Construcoes Ltda.,Marques,2,2,100.0
9708,Construmedici Engenharia e Comercio Ltda.,Giardino,1,2,50.0
9714,Construplaza Empreiteira da Construcao Ltda.,Audemir,1,1,100.0
9718,Construsec Empreiteira de Mao de Obra Ltda.,Aparecida,1,2,50.0
9727,Construtora Bracco Ltda.,Bracco,4,4,100.0
9732,Construtora Ces Ltda.,Catalina,1,1,100.0
9735,Construtora Clark Ltda.,Alberto,1,1,100.0
9738,Construtora Conref Engenharia de Piscinas Ltda.,Adailton,1,3,33.33333333333333
9746,Construtora Cpd Ltda.,Diederichsen,1,2,50.0
9753,Construtora Cronacon Ltda.,Eduardo,1,2,50.0
9759,Construtora Dias Righi Ltda.,Alberto,1,2,50.0
9768,Construtora Ditolvo Ltda.,Ditolvo,2,3,66.66666666666666
9777,Construtora Etama Ltda.,Mrg,1,2,50.0
9779,Construtora Fernandes & Martins Ltda.,Aparecida,1,1,100.0
9783,Construtora Ferraz Ltda.,Almeida,1,2,50.0
9792,Construtora Ferrovial Ltda.,Agroman,1,3,33.33333333333333
9805,Construtora Gomes Lourenco Ltda.,Lourenco,3,4,75.0
9811,Construtora Gustavo Halbreich Ltda.,Halbreich,2,2,100.0
9819,Construtora Incorporadora e Comercio Neumax Ltda.,Silva,4,4,100.0
9820,Construtora Jose Turecki Sociedade de Proposito Especifico III Ltda.,Construtora,1,2,50.0
9826,Construtora Menin Ltda.,Mfpar,1,1,100.0
9832,Construtora Misorelli Palmieri Ltda.,Misorelli,3,3,100.0
9836,Construtora Mollinari Ltda.,Mollinari,2,2,100.0
9839,Construtora Ohana Ltda.,Demien,1,1,100.0
9843,Construtora Pillaster Ltda.,Carbonell,2,2,100.0
9848,Construtora Progredior Ltda.,Peniche,1,2,50.0
9850,Construtora R.Yazbek Ltda.,Cassia,1,2,50.0
9858,Construtora Rezende Ltda.,Pinheiro,2,2,100.0
9864,Construtora Roy Ltda.,Jacomossi,5,5,100.0
9872,Construtora Santa Luiza Ltda.,Fiorese,2,2,100.0
9875,Construtora Sao Jose Desenvolvimento Imobiliario Ltda.,Alberto,1,2,50.0
9881,Construtora Sousa Araujo Ltda.,Araujo,2,2,100.0
9891,Construtora Souza & Abreu Ltda.,Santana,2,2,100.0
9892,Construtora Tardelli Ltda.,Carlos,1,1,100.0
9896,Construtora Ts-R Ltda.,Administracao,1,2,50.0
9901,Construtural Engenharia e Construcoes Ltda.,Carlos,1,1,100.0
9905,Construvap Construcoes e Comercio Ltda.,Filho,1,1,100.0
9909,Consultax Auditores Independentes,Carvalho,3,3,100.0
9915,Consultores de Integracao de Sistemas Ltda.,Coelho,1,2,50.0
9946,"Consultoria, Planejamento e Estudos Ambientais Ltda.",Mariana,2,18,11.11111111111111
9982,Contabil Guararapes S/S Ltda.,Maia,3,4,75.0
9989,Contabilidade Bonini S/S Ltda.,Bonini,2,2,100.0
10005,Contabs Assessoria Empresarial Ltda.,Romano,2,6,33.33333333333333
10009,Contact Nvocc Ltda.,Coelho,1,2,50.0
10016,Contech Industria e Comercio de Equipamentos Eletronicos Ltda.,Tiago,2,2,100.0
10026,Contentstuff Servicos de Internet Ltda.,Martins,2,4,50.0
10033,Contfisco Empresa de Contabilidade Ltda.,Conceicao,1,2,50.0
10039,Conthey Presentes e Decoracoes Ltda.,Joseph,1,1,100.0
10045,Contil Industria e Comercio Ltda.,Pacheco,2,5,40.0
10049,Continental Embalagens e Industria de Caixas Ltda.,Eolia,1,4,25.0
10053,Control Informatica Ltda.,Bermeijo,2,2,100.0
10057,Control Risks do Brasil Ltda.,Control,1,1,100.0
10061,Control Service do Brasil Ltda.,Antao,1,1,100.0
10068,Control Tec Gerenciamento de Obras Ltda.,Guerra,2,2,100.0
10071,Control/P Informatica Ltda.,Agnaldo,1,2,50.0
10081,Controlbio Assessoria Tecnica Microbiologica Ss Ltda.,Silveira,2,3,66.66666666666666
10083,Controle Total Monitoramento Logistica e Servicos Ltda.,Fernandes,1,1,100.0
10086,"Controlid Industria, Comercio de Hardware e Servicos de Tecnologia Ltda.",Comercio,1,1,100.0
10092,Convef Administradora de Consorcios Ltda.,Andrade,2,2,100.0
10098,Conversion Servicos de Marketing Publicidade Tecnologia e Consultoria Ltda.,Barreto,1,6,16.666666666666664
10123,"Convivencia Engenharia, Planejamento e Construcao Ltda.",Velletri,3,4,75.0
10124,Cooper Nutri Racoes e Produtos Agropecuarios Ltda.,Antonio,1,1,100.0
10131,Cooperativa de Credito Cecres - Sicoob Cecres,Sicoobsp,2,2,100.0
10132,Cooperativa de Economia e Credito Mutuo Sicoob Coopercredi-Sp,Administradora,1,1,100.0
10137,Cop Servicos de Portaria e Manutencao Predial Ltda.,Antonio,1,1,100.0
10148,Copavel Consultoria de Engenharia Ltda.,Vasconcellos,3,3,100.0
10155,Copem Engenharia Ltda.,Ribeiro,2,3,66.66666666666666
10158,Coplatex Industria e Comercio de Tecidos S.A.,Andre,1,2,50.0
10163,Coracorthe Comercio de Ferro e Aco Ltda.,(33.33%),1,1,100.0
10168,Core Brasil Fm Gerenciamento de Servicos e Atividades de Infraestrutura Ltda.,Cury,2,3,66.66666666666666
10174,Core Value Bpo Servicos em Integracao de Negocios Ltda.,Bpo,1,2,50.0
10180,Cornerstone Ondemand Brasil Servicos de Software Ltda.,Cornerstone,2,4,50.0
10186,Corporate Assets do Brasil Ltda.,Assets,1,1,100.0
10189,Corporate Servicos de Cobranca e Apoio Empresarial S/S Ltda.,Arruda,1,2,50.0
10196,Correias Schneider Ltda.,Afonso,1,2,50.0
10201,Corrente Engenharia Construcao e Montagem Ltda.,Carro,1,1,100.0
10210,Corsan-Corviam Construccion S.A.do Brasil,Isolux,8,8,100.0
10212,Corte Master Industria e Comercio de Aco Ltda.,Calabron,3,3,100.0
10218,Cortez Editora e Livraria Ltda.,Beserra,3,3,100.0
10226,Corumbal Participacoes e Administracao Ltda.,Alfa,2,2,100.0
10232,"Corus - Armazenagem, Logistica, Transporte e Distribuicao Ltda.",Cordeiro,4,6,66.66666666666666
10243,Costa Monteiro Confeccoes Ltda.,Adelvam,1,1,100.0
10332,Costa e Tavares Paes Sociedade de Advogados,Martins,3,41,7.317073170731707
10379,Costes Calcados - Comercial Ltda.,Kachvartanian,2,2,100.0
10382,Cotecna Servicos Ltda.,Cotecna,2,2,100.0
10385,Cotermang Comercial de Produtos Metalurgicos Ltda.,Edite,1,1,100.0
10388,Cotidiano Restaurante Ltda.,348,2,3,66.66666666666666
10395,Couro Top Industria e Comercio de Revestimentos Automotivos e Aeronauticos Ltda.,Miotto,2,2,100.0
10403,Cp+B - Crispin Porter & Bogusky Brasil Publicidade Ltda.,Inc.,2,5,40.0
10414,Cpa Engenharia e Construcoes Ltda.,Alves,2,7,28.57142857142857
10438,Cpl Medical S Produtos Medicos Ltda.,Arthus,1,1,100.0
10440,Cps Comercio de Produtos Serigraficos Ltda.,Bianchini,1,1,100.0
10443,Cpv - Centro Preparatorio Para Vestibular Ltda.,Birkenstein,1,1,100.0
10445,Cpv Educacional - Ensino Fundamental e Medio Ltda.,Birkenstein,1,1,100.0
10447,Cqm Empreiteira Ltda.,Antonio,1,2,50.0
10454,Cred Park Estacionamentos Ltda.,Erlando,1,1,100.0
10463,Crediativos Solucoes Financeiras Ltda.,Castilho,3,11,27.27272727272727
10491,Crediporto Promotora de Servicos Ltda.,Financeiros,1,1,100.0
10494,Credit Brasil Fomento Mercantil S.A.,Acakura,1,1,100.0
10497,Creditas Solucoes Financeiras Ltda.,Creditas,1,3,33.33333333333333
