,Empresa,nome,count_x,count_y,proporcao_nomes_por_qtde_socios
474,Ace Revestimentos Ltda.,Damaa,1,1,100.0
476,Ace Transportes de Cargas Eireli,Amaro,1,1,100.0
479,Acelera Locacao e Manutencao de Veiculos Ltda.,Equipamentos,1,1,100.0
483,Acesso Controle de Acesso e Portaria Ltda.,Airel,1,1,100.0
494,Ach Engenharia e Construtora Ltda.,Haddad,5,5,100.0
505,Aclimed Clinica Medica Aclimacao Ltda.,Sobral,5,5,100.0
506,Acobril Comercial de Aco Ltda.,Rebeca,1,1,100.0
508,Acougue e Treinamento N S das Unias Ltda.,Felix,1,1,100.0
513,Acp Comercio Atacadista de Componentes Eletronicos Ltda.,Barros,3,3,100.0
520,Acquarius Sistemas Avancados de Servicos de Tercerizacao Ltda.,Carvalho,1,1,100.0
523,Acrescenta Alto Desempenho em Servicos Empresariais Ltda.,Florencio,1,1,100.0
528,Acro Cabos de Aco Industria e Comercio Ltda.,Garcia,3,3,100.0
532,Acsp Servicos de Apoio Administrativo Ltda.,Cristiane,1,1,100.0
536,Actans Participacoes Ltda.,Angel,1,2,50.0
541,Actionbr Play Locacao de Mao de Obra Temporaria Ltda.,Evair,1,1,100.0
544,Activ Eletro Acustica Ltda.,Amano,1,3,33.33333333333333
559,Activision Blizzard Brasil Promocoes Ltda.,Blizzard,2,2,100.0
563,Acx - Comercio de Produtos Alimenticios Ltda.,Acx,1,2,50.0
571,Ad Agencia de Viagens e Turismo Ltda.,Empreendimentos,1,2,50.0
579,Ad Food Alimentacao Eireli,Lima,2,2,100.0
586,Ad Labor Prestacao de Servicos Ltda.,Vitale,2,2,100.0
593,Adams & Porter Sociedade de Corretagem de Seguros Ltda.,Seguros,4,4,100.0
596,Adapt Produtos Oftalmologicos Ltda.,Pomonch,1,1,100.0
597,Adbens Administracao de Condominios e Imoveis Ltda.,Arruda,2,3,66.66666666666666
605,Adcard - Administradora de Cartoes de Credito Ltda.,Behisnelian,2,2,100.0
609,Adccont - Servicos Contabeis Sociedade Simples,Angela,1,3,33.33333333333333
620,Adega Alentejana Comercio Importacao e Exportacao Ltda.,Beleza,3,4,75.0
629,Adesso Industria e Comercio Ltda.,Empreendimentos,1,1,100.0
632,Adler Andaimes Ltda.,Intercept,1,1,100.0
633,Adm Administracao de Servicos Gerais Ltda.,Basilio,1,2,50.0
640,Adm Mota Apoio Administrativo Ltda.,Araujo,1,1,100.0
647,Administradora de Cinemas e Lojas de Conveniencias Ltda.,Silva,2,2,100.0
649,Administradora do Continental Shopping Ltda.,Continental,1,2,50.0
654,Administradora e Operadora de Hoteis Vila Rica Ltda.,Flavia,1,1,100.0
656,Admiral Corretora e Administradora de Seguros Ltda.,Alves,1,3,33.33333333333333
667,Admotion Sistemas Ltda.,Alexander,1,2,50.0
674,Adsmovil do Brasil Ltda.,Adsmovil,1,2,50.0
683,Adt Security Services do Brasil Ltda.,Tyco,2,2,100.0
684,Aduana Projetos Despachos e Transportes Ltda.,Adriana,1,4,25.0
695,Advance Planos de Saude Ltda.,Esperanca,1,1,100.0
