Empresa;Principais Executivos
Carmona Maya, Martins e Medeiros Sociedade de Advogados;Abdo Jorge Salem, Andre Astur, Andre Luiz Rolim Tucunduva da Fonseca, Andrea Lopes Hames, Augusto Cabrera Reinke, Breitner Quilles Jimenez, Bruno Fernando Garutti, Bruno Matsubara Ferreira, Camilla Fazzini Cardial Goncalves de Lima, Carla Camila de Albuquerque Costa, Carla Meireles Pagoto, Cassio Siedlarczyk de Souza, Diego Vaz, Eduardo Pires Galvao, Ellen Sthefany de Araujo Silva, Fabiana Aparecida Thomaz Parmezzani, Fabio Marar Silveira Correa, Felipe Navega Medeiros, Fernando Denis Martins, Giovanni Santos Bravim, Glenda Margareth Oliveira Laranjo, Grazielle Ribeiro, Guilherme Jun Fugita, Henrique de Moura Perez, Henrique Semolini, Larissa Espanhol, Leonardo Koji Koga, Ligia Martins Pereira, Lyege Luzia Jardim Sagretti, Maria Claudia Ribeiro Xavier, Matheus Lemos dos Santos, Nicholas Conrado Rivielo, Priscila Talita Silva Araujo, Priscilla dos Santos Cezar, Rafael Palanch Gomes de Paula, Renata Alves Chermucsnis Vieira, Rodrigo Garcia Jelmayer, Rodrigo Lopes Ferreira, Thais Cristina Zattoni Python, Viviane Granda, William Carmona Maya, Carmona Maya, Martins e Medeiros Sociedade de Advogados
Lico S Empreendimentos Imobiliarios Ltda.;Abel Ferreira Lico, Carlos Alberto Batista Lico, Eliane Ferreira Lico Esteves, Elizabeth Ferreira Lico, Liliane Aparecida Batista Lico Machado, Renato Ferreira Lico, Sergio Ferreira Lico
Veirano Advogados;Abel Simao Amaro, Adriana Guimaraes de Paula, Adriano Milanesi Sutto, Alberto Afonso Monteiro, Alexandre Verri, Amanda Leal Brasil Karp Macedo, Ana Luci Limonta Esteves Grizzi, Ana Teresa Caetano de Marinis, Andre Augusto Mendes Machado, Ari Jose Job Junior, Augusto Cesar Barbosa de Souza, Beatriz Mantovani Bergamo, Bianca Soares Silva Correia, Bruno Habib Negreiros Barbosa, Bruno Leandro Palhares Perez, Bruno Martins Caliman, Daniel Augusto Malatesta, Daniel Engel, Daniela Pellegrino Anversa, Daniela Simoes Diniz, Denise Figueira Louzano, Diego Lange Ruiz, Diego Yago Rodrigues da Silva, Fabiana Helena Lopes de Macedo Tadiello, Fabio Luiz Barboza Pereira, Fabio Pedro Alem, Fernanda Balieiro Figueiredo, Fernao Henrique Pio Rocha Moura de Castro, Filipe Carra Richter, Flavia Dringoli Bruno, Flavio Augusto Cavalcante Rodella, Gabriela Siqueira Neves, Gisela Alves de Melo Miranda, Graziela Precoppe Pinto Lima Galves, Grazieli Sigliano Policiano da Rocha, Gustavo Moraes Stolagli, Ian de Porto Alegre Muniz, Igor Cunha Arantes Castro, Isabel Hering, Joao Paulo de Carvalho Vianna Servera, Jose Carlos Wahle, Josiele Ribeiro Gouveia, Julia Tamer Langen, Leonardo Augusto Bellorio Battilana, Lilian dos Santos da Silva, Lior Pinsky, Luciana Zanella Louzado, Luis Felipe Aguiar de Andrade, Luiz Antonio dos Santos Junior, Luiz Guilherme Moraes Rego Migliora, Marcelo Ribeiro Mattos, Marcelo Rodrigo Lopes, Marco Antonio Moreira Monteiro, Marta Cristina Cury Saad Gimenes, Mateus Aimore Carreteiro, Mauricio Maleck Coutinho, Paola Luongo Lorenzetti de Miranda, Paola Oliveira Lima, Paula Dornelas, Paulo Fernando Campana Filho, Priscila David Sansone Tutikian, Priscilla Villa Nova de Oliveira, Rafael Urbano Gimenes, Raisa Reggiori Pereira, Raphael Moreira Espirito Santo, Raphael Roberto Peres Caropreso, Raquel Fernandes de Oliveira Bertholdo de Souza, Renata Cristina Rabelo Gomes, Renata Fialho de Oliveira, Ricardo Camargo Veirano, Roberto Rudzit Neto, Robson Goulart Barreto, Rodrigo Berti Franciscon, Ronaldo Camargo Veirano, Silvia Figueiredo Araujo, Simone Maia Natal, Tiago Kummel Figueiro, Till Alexander Backsmann, Valdir de Oliveira Rocha Filho, Vanessa Bertonha Felicio, Vitor Rozenthal
Pat Traffic - Sistemas de Transporte Inteligente Ltda.;Abel Vivo Chaneton, International Road Dynamics Inc Ird
Abrdn Brasil Investimentos Ltda.;Aberdeen Asset Management Plc, Tenon Nominees Limited
Helco Engenharia e Construcoes Ltda.;Abilio Augusto Amado Coelho, David Pereira Arico
Granadeiro Guimaraes Advogados.;Abner Dias Gitti, Adriana Pinton, Alexandre Marques de Medeiros, Anna Leticia Souza Zambaldi, Aparecida Tokumi Hashimoto, Bianca Ulivieri, Carlos Evandro Righetti, Daniel Rodrigues Campos, Eliane Maria da Silva Ferreira, Fabiana Freua, Filipe Gustavo Potzmann Pereira, Gustavo Granadeiro Guimaraes, Joao Ricardo Galdieri Martino, Marcelo Martins, Maria Fernanda Blasco Aagaard, Mauricio Granadeiro Guimaraes, Roberto Baronian, Rosa Maria Soares Betti, Valter Machado Dias, Vanessa Sehn Garcia, Wanderley Soares dos Reis, William Aleixo Bertalan, Granadeiro Guimaraes Advogados.
Sivat Abrasivos Especiais Ltda.;Abraham Furmanovich, Alkim Comercio de Abrasivos Ltda.
White & Case Llp Consultores em Direito Estrangeiro/Norte-Americano;Abraham Paul, Donald Elliott Baker, John Pierre Guzman, John William Anderson Junior
Megamix Engenharia Ltda.;Abrahim Bacil Junior, Ricardo dos Reis
