Empresa;Principais Executivos
Dl Iluminacao Ltda.;Alessandra Goncalves Friedmann, Broadway Comercio e Servicos de Iluminacao Ltda.
Focco Servicos Especializados Ltda.;Alessandra Guedes dos Santos
Planisa Planejamento e Organizacao de Instituicoes de Saude Ltda.;Alessandra Haruko Koga, Alessandra Vieira Machado, Eduardo Luiz Agostini, Flavia Neves de Matos, Marcelo Tadeu Carnielo, Maria Beatriz Nunes Pires, Maria da Conceicao das Neves de Matos, Renata Neves de Matos Antunes, Stevan Rech Haddad
Koury Lopes Advogados;Alessandra Hohne, Alexandre Pessoa Afonso, Alvaro Lucasechi Lopes, Amanda Adam da Silva, Ana Carolina Marcondes Maiorano Penido, Ana Carolina Moreira Cesar, Andre Maruch, Andres Felipe Ramirez Ocampo, Ariel de Abreu Cunha, Augusto Simoes Cunha, Beatriz Neves de Jesus dos Santos, Bianca de Oliveira Santos Colnago, Bruna Apariz de Cesare, Bruna Heymann Fedele, Bruna Pegoraro Augusto, Camilla Brandao Coelho Andrade, Carla Fernandes Marotti Menegaldo, Carlos Eduardo Vianna Soares Filho, Carolina Ducci Maia Barcelos, Carolina Pereira, Daniel Henrique Teodoro de Souza, Daniele Dimas Ramos, Eduardo Bouwman Codeceira, Eliane Romero Bordin, Elias Ferreira Jabbour, Erica Vanessa Micai, Felipe Jim Omori, Fernanda Menasce Halevy, Filipe Henrique Vergniano Magliarelli, Flavia Cristina Alterio Falavigna, Gabriella Feres de Carvalho, Gianni Nunes de Arruda Camargo, Giulia Gasparin Celestino, Giulia Reis Lourenco da Silva, Guilherme Ladorucki Ieno Costa, Guilherme Santos Steagall Person, Henrique de Oliveira Lopes da Silva, Isabela Felippe Chieregato, Isabela Santos Azevedo, Jefferson Ferreira Antunes de Souza, Joao Gabriel Duarte Nunes da Silva, Joao Vitor Pellegrino Feres, Jorge Fernando Koury Lopes, Jose Flavio Piccinin Dias Pacheco, Julia Orlandini Alonso, Juliana Braido Zaccarelli, Juliana Midori Kuteken, Juliana Nunes dos Santos, Juliane de Mendonca, Karin Alvo, Larissa Josviak D' Avila, Laura Nascimento Cossi, Leticia Cerqueira Renno Grilo, Leticia Marangoni Asperti, Leticia Yumi Marques, Luis Flavio Neto, Luiz Filipe Aranha Pereira Souza Santos, Maine Bubach Giesen, Marcela Arminda de Santana, Marcelo Bertozzi de Pinho, Marcelo Laplane, Maria Eugenia Vicente Martignon, Mariana Machado Cortez, Mariana Semenzato Antunes, Marina Greeb de Souza, Mario Fioratti Neto, Matheus Guimaraes Barreto, Melissa Carvalho Kano, Natalia Cristina Amici Potente, Nathalia Ito Abe, Patricia Porto Braga Aguiar, Paulo Roberto Fonseca Chubba, Pedro Augusto Machado Cortez, Pedro Henrique Vieira Pessoa, Rafaella Perez Coelho, Renata Domingues Antonelli, Renata Foizer Silva Manzoni, Roberto Zilsch Lambauer, Rodrigo Candido da Silva, Rodrigo Costa Lima, Rodrigo Firmo da Silva Pontes, Taisa Mendonca de Oliveira, Thiago Martuscelli Munhoz, Tiago Machado Cortez, Tomaz Prado de Siqueira Matheus, Vanessa Vieira Adriano Campos, Vera Helena Cardoso de Almeida, Veronica de Toledo Linardi, Victor Borges Polizelli, Walter Erich Piekny, Yasmin Rezende Simon
Solve System Informatica Ltda.;Alessandra Jesus da Silva, Cesar Vasconcelos Vieira, Jonathan Rafael Fernandes, Keren Cilene Kondor Cardoso
Azevedo Sette Advogados Associados (São Paulo);Alessandra Lima Ganz, Alessandra Martins de Souza, Aline Augusto Franco, Andre Siqueira do Amaral, Andrea de Fatima Estevao Cruz, Anna Beatriz Medeiros do Nascimento, Antonio Carlos de Toledo Negrao, Barbara Rios Pimenta Nogueira, Beatriz Canhoto Lima, Beatriz Pereira de Paula, Bruna Batagim de Carvalho, Bruna Evellyn Pereira Bigas, Bruno Guimaraes Moraes, Bruno Rodrigues de Souza da Rocha Pitta, Caio Brandao Coelho Martins de Araujo, Camila Mendes Meneghini, Camila Sabino del Sasso, Camilla Lopes Chicaroni, Carolina Simioni Perdomo, Caroline Martinez de Moura, Danielle Chipranski Cavalcante, Danilo Carvalho Tavares da Conceicao, Dayane Paula Lira Silva Santana, Ernesto Medeiros Teixeira de Araujo, Fabio Capelletti, Fabricio Faggiani Dib, Fernanda Martins Rodrigues, Fernando Azevedo Sette, Flora Ricca de Weber, Gabriela Leite de Moraes Cesar, Giovana Maranezi Sipan, Giuliana Sampaio Alves Mascari Bonilha, Glaucia Helena Ferreira Severo Paes, Gustavo Maranezi Sipan, Helena Virgili, Ingrid Bandeira Santos, Isabel Galvao Bueno Cintra Franco, Isabella da Penha Lopes Santana, Janaina Cristina Oliveira Lopes Samogim, Juliana Gebara Sene Santos Ikeda, Juliana Petrella Hansen, Julyanne Cristine de Bulhoes da Silva Nascimento, Lais Litran Motta, Leonardo Moreira Costa de Souza, Leonardo Sakaki, Liege Godoi Buzoni, Lionel Zaclis, Lorena de Medeiros Silva, Lorena Pretti Serraglio, Lucas Mandelbaum Bianchini, Luis Fabio Marchesoni Rogado Mietto, Luiz Augusto Azevedo Sette, Luiz Eduardo Ribeiro Salles, Maira Sampaio Cavalcanti, Marcos Rafael Faber Galante Carneiro, Mariana Alves de Oliveira Galvan, Mariana Cassiolato Nascimento, Mariana de Carvalho Rici, Maristela Ferreira de Souza Miglioli, Matheus Aparecido Alves Borges, Matheus Giglio, Mauricio Catach de Danek, Mauricio Pernambuco Salin, Monalisa Ventura Leite Marques, Munique Maiara Mascarenhas Granado, Natasha Midori Hinata, Ordelio Azevedo Sette, Paulo Affonso Ciari de Almeida Filho, Pedro Paulo Furquim de Andrade, Pedro Robson Ferreira de Sousa, Rafael Adler, Rafael Oliveira de Souza, Rafael Tavares Bassoli, Regiane Alves Ribeiro dos Santos, Ricardo Azevedo Sette, Ricardo Barretto Ferreira da Silva, Roberta Karina Macedo de Almeida, Rogerio Leme de Siqueira, Silvia Pellegrini Ribeiro, Stefania Mariotti Masetti, Sylvia Werdmuller Von Elgg Roberto, Tatianne Vaz Lobo Roriz, Victoria Fontolan Villa
Sin Solution Solucao Integrada de Negocios Ltda.;Alessandra Maria Dias Guimaraes Cesar
Escritorio de Advocacia Sergio Bermudes;Alessandra Marques Martini, Beatriz Brito Santana, Beatriz Maria Marques Holanda Costa, Caetano Falcao de Berenguer Cesar, Fabiano de Castro Robalinho Cavalcanti, Francisco del Nero Todescan, Gabriel Francisco de Lima, Gabriel Spuch, Gabriel Teixeira Alves, Giovanna Marssari, Guilherme Pizzotti Mendes Coletto dos Santos, Henrique de Almeida Avila, Joao Lucas Pascoal Bevilacqua, Julia Spadoni Mahfuz, Leonardo Prospero Ortiz, Livia Regina Ferreira Ikeda, Marcelo Lamego Carpenter Ferreira, Marcio Vieira Souto Costa Ferreira, Marco Aurelio de Almeida Alves, Matheus Soubhia Sanches, Paola Hannae Takayanagi, Pedro Rezende Marinho Nunes, Rafael Vasconcellos de Arruda, Renato Caldeira Grava Brazil, Roberta Rascio Saito, Rodrigo Tannuri, Sergio Bermudes, Sergio Germano Nascimento, Victor Nader Bujan Lamas
Supermercado R R Ltda.;Alessandra Mendes da Silva Carmo, Israel Antonio do Carmo
Camerlingo, Zaitz, Rodrigues, Barbosa, Vieira & Lima Advogados Associados;Alessandra Mendes Pivante, Alessandra Oliveira de Simone, Amanda Brisolla Fernandes Simoes, Andre Camerlingo Alves, Andre Mendes do Espirito Santo Modenesi, Andre Staffa Neto, Antonio Carlos Monteiro da Silva Filho, Camila Cacador Xavier Pereira, Cassia Rangel Monteiro, Daniela Zaitz Kolar, Denise de Araujo Berzin Reupke, Elaine Cristina de Souza Martins Staffa, Enrico Sarti, Esther Jerussalmy Cunha, Fabiane Sant Anna, Fabio Chong de Lima, Fabricio Bertini Pasquot Polido, Felipe Castro Batista dos Santos, Felipe Lima Matthes, Fernanda Domingues Pereira, Frederico Augusto Bernardo de Oliveira, Gabriel Grunberg Tesler, Giovanna Martins Ferro, Gisleine Porto Goncales, Isabela Rodrigues Alves de S.A.e Silva, Joao Victor Guedes Santos, Jose Roberto Martinez de Lima, Julia Guimaraes Rossetto, Luana Bastos Ferraz, Marcelo Soares Cabral, Marcelo Trussardi Paolini, Marcia Serra Negra, Marco Antonio Garcia Lopes Lorencini, Marcos Ribeiro Barbosa, Maria Beatriz Lorena de Mello Grella Vieira Terra, Maria Janaina Gameiro Eichenberger Guimaraes, Maria Luiza Duanetti, Marta de Araujo Rodrigues, Nathalia Fernandes Goncalves, Patricia Agra Araujo, Peterson Vilela Muta, Phillipe da Cruz Silva, Renata Castro Veloso, Ricardo Castro Ramos, Silvia Rodrigues Pereira Pachikoski, Sueli de Freitas Verissimo Vieira, Thais Ribeiro Bernardes Casado, Thiago de Oliveira Andere Martins, Ulisses Simoes da Silva, Wendell Rodolfo dos Santos, Camerlingo, Zaitz, Rodrigues, Barbosa, Vieira & Lima Advogados Associados
Sibol Embalagens Ltda.;Alessandra Messa Rodrigues Silva, Amanda Messa Rodrigues Silva, S.R.Participacoes e Administracao de Bens Proprios Ltda.
Mattos, Engelberg e Echenique Sociedade de Advogados;Alessandra Moreno Leite, Alessandra Serizava, Alessandro de Oliveira, Alessandro Elias do Nascimento Assef, Alexandre Henrique Monteiro, Andre de Godoy Fernandes, Anne Gabrielle Souza Romao, Antonio Jose Dias Ribeiro da Rocha Frota, Breno Vianna Montans, Bruna Ceotto Gomes, Camila Aparecida Ferreira de Lima, Camila Mazza da Silva, Carla Abduch, Caroline Fernandes Barbosa, Caroline Lassali Sardinha, Cris de Oliveira Palmitesta, Cristiane Borges da Costa, Cristiane Gomes Silva Sousa, Daniel Tavares da Silva, Danilo Flavio Andrucioli, Dayanne Sales Oliveira, Eduardo Lacerda Fernandes, Erika Danyla Inacio, Fabrizio de Bortoli, Fernanda Beatriz Sanches, Fernando Engelberg de Moraes, Gabriel Rian Tironi Goncalves, Gabriela Furlan Liba, Giovana Mara Ferracini, Giovanna Perli Diago Francoso, Graziele Cristina de Souza Rezende, Isabella Silva Querido Scalon, Jessica Monique da Silva Santana Bacaro, Joao Carlos Ribeiro Areosa, Julia Ishaq Alves, Julia Polisel Jabor, Juliana Baraldi Lopes, Kellen Mayara de Lisboa Lima, Lara Luiza Liporone de S.A., Laura Silveira Santos, Leonardo Santini Echenique, Leticia Albieri de Andrade, Leticia Barrera Orlando, Leticia Prado Dias Santos, Leticia Sigoli de Carvalho, Lucas Marcondes Borges, Luciana Machado de Oliveira, Luciano Faneca da Cunha Goncalves, Marcelle Cione Cristino Queiroz Cardoso, Marcello Lutz Vidigal, Mariana Baptista de Assumpcao, Mariana Carvalho Vieira Calsoni, Marianah Morais Moreira, Marina de Campos Mendonca, Michele Cristina Tiodoro de Oliveira, Milene Rodrigues de Araujo, Natalia Castaldelli de Assis Toledo, Natalia da Costa More, Natalia Machado de Oliveira Bravo, Nathalia de Souza Amorim Andrade, Nayara Ferreira Nascimento, Patricia do Carmo de Oliveira Soares, Pedro Pierobon Costa do Prado, Priscila Farisco Rocha Leite, Raphael Rangel Pereira, Sara Jaafar Barakat, Silvana Felicio Munhoz, Tamiris Francine Castro de Araujo, Tatiana Botosso Degani, Thaisa Luciana Manzoli Padilha, Thiago Luiz da Costa, Thiago Silva Freitas, Ubiratan Mattos, Wolmar Francisco Amelio Esteves
Overcasting Apoio Administrativo Ltda.;Alessandra Pope Valente
Arte Contemporanea Comercial Ltda.;Alessandra Ragazzo Daloia, Alexandre Monteiro Gabriel, Marcia Cristina Correa Fortes
Cross Merchandising e Servicos Ltda.;Alessandro Costa Verdugal, Maria Filomena Costa Verdugal
G5 Partners Consultoria e Participacoes Ltda.;Alessandro da Costa Florim Fabietti, Andre Felipe Benchimol, Carlos Alexandre Carneiro Barbosa de Aca Belchior, Corrado Varoli, Daniel Mendo Lombardi, Eduardo Pires do Rio Caldeira, Eduardo Weiskopf, Fabio Henrique Fleury Souza e Soares, Felipe Mesquita Facioli, Fernando Caldeira Berenguer Donnay, Francisco Bile da Silva Prado, Francisco Roberto Andre Gros, Juliana Tommasi Theodozio, Levindo Ozanam Coelho Santos, Marcelo Andre Lajchter, Michael Edward Van Dijk Gagliardi, Renan Maracaipe Rego, Renato Klarnet, Roberto Mendes de Freitas, Rodrigo de Araujo Phillipi, Rodrigo Mariti Fraga, Rosangela Candido Rodrigues, Tatiane Bruschini Bertone, Tiago Goto Sala, Wagner Monteiro de Azevedo, G5 Holding S.A., G5 Partners Consultoria e Participacoes Ltda.
Comercial de Alimentos Caminho Ltda.;Alessandro da Silva
Mastery Consulting - Assessoria em Sistemas de Informatica Ltda.;Alessandro da Silva Bertoni, Jude Philip Cayaba Bangalan
Olos Tecnologia e Sistemas Ltda.;Alessandro Damasio dos Santos, Bruno Geraldes Rey, Edson Mendia Thomaz, Opg Servicos e Participacoes Ltda., Rg Godoy Participacoes Ltda., Arista Tecnologia Corporativa Ltda.
Elevadores Zenit Ltda.;Alessandro Ferrari
Plast-Car Industria e Comercio de Plasticos e Moldes Ltda.;Alessandro Jose de Oliveira
Lar - Construcoes e Incorporacoes Ltda.;Alessandro Magno Ribeiro Tahan
Cold Control Ar Condicionado Ltda.;Alessandro Mazzoni Junior, Renata Santos Mazzoni
Tesheiner Cavassani e Giacomazi Advogados e Consultores Legais;Alessandro Moreira do Sacramento, Claudia Fabiana Giacomazi, Marcelo Tesheiner Cavassani
Evoluservices Meios de Pagamentos Ltda.;Alessandro Moretti, Erivelton Martinez Oliveira, Gabriel Henriques Santos de Oliveira, Jean Luc Senac, Luciana Cunha da Silva, Menin Assessoria e Consultoria Ltda., Natalia Foizer Spelta, Tatiane Silva de Farias, Evoluservices Meios de Pagamentos Ltda.
Solutions One Assessoria Empresarial Ltda.;Alessandro Neiva Maracaja
Biotec Industria e Comercio de Alimentos Ltda.;Alessandro Nezi Ragazzi, Fabian Eduardo Nezi Ragazzi
Fogoes Shop Ltda.;Alessandro Pessina, Rodrigo Pessina, Wagner Pessina
Hot Bread Mini Padaria Ltda.;Alessandro Piva Tamaio
Ice Bread Paes Especiais Ltda.;Alessandro Piva Tamaio, Tatiane Rego Salome Tamaio
Magile Transportes Ltda.;Alessandro Sales Gengo, Juliana Braga Gengo
Sagais Modelagem e Animacao em 3D Ltda.;Alessandro Silva do Bomfim, Odacir Joao Benini, Roberto Ferreira Alves
Ops Desenvolvimento de Negocios Ltda.;Alessandro Zocal Garcia, Ana Carla Locatelli Chiella, Andre Luis Christofalo Monteiro, Antonio Deivor Zanco Junior, Antonio Henrique Leiras Matos, Antonio Marcos Rodrigues, Claudio Roberto de Sillos, Eduardo Clemente Ribeiro, Elaine Rogatto, Elvio Freixeda Filho, Guilherme Costa, Luciano Machado Pereira, Luis Geraldo Schonenberg, Marcos Jose Correa Camargo, Monica de Cassia Freire Gondim, Myrian de Oliveira Saraiva, Paulo Eugenio Schonenberg, Paulo Sergio Pupo Minari, Renata Santos Oliveira Jalbut, Roberto Carlos Pestana Filho, Sifra Sell Servicos de Creditos Ltda., Sigstech Solucoes em Tecnologia Ltda., Thiago Chagas de Oliveira
Qualiserv Servicos de Apoio Operacional e Logistica Ltda.;Alex Cardoso
Pp&C- Pachikoski, Pachikoski & Carvalho Auditores e Consultores Ltda.;Alex da Silva Santos, Aline Poiani, Allan Camargo da Torre, Ana Gabriela Maia Alves, Andrea Lo Buio Copola, Andressa Mayara Domingos Macedo, Claudio Trindade de Matos, Eduardo Camillo Pachikoski, Fernando Gonzales de Almeida, Heloina Elisa Silva de Goes, Janderson Vicente Amorim, Joao Octavio de Freitas Galdino, Johnatan Henrique Santos, Leila Maria Pachikoski, Leonardo dos Santos, Marcos Aparecido Rodrigues, Marcos Vinicius Freitas Gutierres, Marcus Vinicius Montanari, Paulo Jose de Carvalho, Rafael Edivaldo Maia de Araujo, Roger Hamada Hiraishi, Taiguara Pires do Nascimento, Tatiana de Carvalho, Vanessa da Silva Matos
Chiarottino e Nicoletti Sociedade de Advogados;Alex de Carvalho Marinho e Rocha, Ana Clara Oliveira Assuncao, Andre Smith de Vasconcellos Suplicy, Bruna Queiroz Riscala, Caio Coutinho de Melo, Carlos Roberto Dora, Cintia Aparecida Ramos Souza Martins, Daniela Cristina Favaretto Toledo, Erika Yumi Tukiama, Fernanda Fernandes Lima, Flavia Carneiro de Campos Moreira Amaral, Gabriela Siqueira Neves, Giselda Felix de Lima, Helio Nicoletti, Isabella Corradi Cano Cardoso, Isabella da Silveira Perez Censon, Jose Renato de Carvalho Rimedio, Juliana Oliveira dos Santos, Juliana Vetore do Carmo, Juvencio Jose Vilares Neto, Karen Badaro Viero, Karen Sayuri Akiyama, Leandro Augusto Ramozzi Chiarottino, Marcello Mauricio dos Santos, Marcio Ramos Furtado, Maria de Melo Franco, Mirella Guedes Campelo, Nathalie Ciriades Chiarottino, Nuno Goncalves Correia dos Santos, Priscila Benelli Walker, Renata Soraia Luiz, Renato de Mello Almada, Roberto Antonio Vallim Bellocchi, Rodrigo D' Avila Mariano, Rodrigo Jose Marcondes Pedrosa Oliveira, Welson Haverton Lassali Rodrigues, Yasmin Rezende Simon
Em Foco Revestimentos Metalicos e Servicos Ltda.;Alex Garcia de Souza
Rodoviario Novo Horizonte Ltda.;Alex Jose de Oliveira, Edmilson Jose de Oliveira
Unihope Comercial Ltda.;Alex Karim Khouri, Fabio Karim Khouri, Karim Antonios Khouri
Contabil Guararapes S/S Ltda.;Alex Lucio dos Santos Maia, Antonio Sofia, Fabio Santos Maia, Manoel de Oliveira Maia
Maza Terceirizacao de Servicos de Controle de Acesso Ltda.;Alex Nascimento Pereira
Intertrade Brasil, Telecomunicacoes, Multimidia e Representacoes Ltda.;Alex Roberto dos Santos Pimentel
Simonaggio Pericias Contabeis e em Economia S/S Ltda.;Alex Sandro de Sales Alexandre, Antonio Marcos Arroio, Eneas Moreira, Juliana Baggio Inacio, Marcelo Soares, Marcio Bohnenberger Fritzen, Marcio Grigorio de Santana, Patricia Fuchs Rodrigues, Silvio Simonaggio
Panificadora Irmaos Vieira e Carvalho Ltda.;Alex Vieira de Carvalho
2001 Servicos de Entregas Rapidas Ltda.;Alex Wander Marques da Silva
Keeva Investimentos e Participacoes Ltda.;Alexander Jonathan Lipszyc, Erika Lipszyc Kuzniec, Karen Lipszyc, Viviana Doroty Lipszyc
Sawafish Comercial, Importadora e Exportadora de Produtos do Mar Ltda.;Alexander Leonel Uichiro Sawa
Uralkali Trading Fertilizantes Brasil Ltda.;Alexander Terletskiy, Uralkali Trading Sia
Instituto de Educacao Alexandra Ltda.;Alexandra Lima Coitinho, Monica Keli Coitinho Arroceto
Hese Empreedimentos e Gerenciamento S.A.;Alexandra Moreira de Araujo
Provokers Market Analytics Ltda.;Alexandre Abolin Catelan, Aline Cristina Rancan, Alvaro Freitas de Sousa, Andre da Costa Duarte, Angela Silva Cardoso da Costa, Anna Elisabeth Rita Wiedemann, Bruna Soares Mendonca Carneiro, Eric Marie Pral, Gustavo Francolin Pelegrini, Leandro Saletti de Toledo, Luciana Neves Piedemonte de Lima, Luiz Ricardo Pegorin, Maria Leticia de Almeida Capobianco, Mariana Rodrigues Pereira, Nuno Duarte da Costa Bittencourt, Paulo Roberto da Silva, Pierre Francois Cohen, Rita de Cassia Goncalves Prado Ferreira, Sabrina Giaquinto Barroso, Sandra dos Santos Candido
Opus Software Comercio e Representacoes Ltda.;Alexandre Aiello Barbosa (24.65%)
Colegio Barreto Gurian Ltda.;Alexandre Alex Gurian, Marcia Barreto
Protelim Industria Quimica de Produtos de Higiene e Limpeza Exportacao e Importacao Ltda.;Alexandre Augusto Canfora
Acalanto Clinica Multidisciplinar Ltda.;Alexandre Augusto Fontes Santini, Clinica Premium Care S.A.
Nvrs Elaboracao de Programas Ltda.;Alexandre Augusto Nogueira Eisenmann, Arthur Cymerman Asnis, Otto Bueno Schutzer
Listenx Servicos de Musica e Comunicacao Ltda.;Alexandre Baronto Casanova de Oliveira
E.Life Monitor Estudos De Mercado Ltda.;Alexandre Barreto Gama de Oliveira, Mata Virgem Tecnologia Ltda., Ulm Desenvolvimento Tecnologico Ltda., William da Silva Ferreira
Tennessee Carnes Ltda.;Alexandre Batista Fernandes, Fernando Batista Fernandes, Henrique Eduardo Barradas, Nivana Castelan
Fortville Vigilancia Ltda.;Alexandre Belfort Villela de Andrade, Edson Santos de Souza
Embratop Geo Tecnologias Ltda.;Alexandre Benjamin Rainha, Embratop Participacoes Ltda., Emerson Batista Cauduro Velho, Inacio Kinssei Tayra
Restaurante Praca Paulista Ltda.;Alexandre Borges de Freitas, Cashemas Participacoes e Consultoria Ltda., Celio Guilherme Christiano Filho, Celso Luiz Dobarrio de Paiva, Darcio Sayad Maia, Dilson Sayad Maia, Economus Participacoes Ltda., Edmundo Mascarenhas Amaral Valente, Fernando Fernandes Lima de Freitas, Jose Guilherme do Amaral Meirelles, Lygia Lopes Correia da Silva, Maria Clara Vieira Garcia, Maria Helena Guimaraes, Mario de Barros Duarte Garcia, Octavio de Guimaraes Horta, Sergio Abdalla Kalil, Sergio Ribeiro Pacheco de Castro, Tomaz Grisanti de Moura, Jhb Administracao e Participacoes Ltda.
Restaurante Praca Jk Ltda.;Alexandre Borges de Freitas, Celio Guilherme Christiano Filho, Celso Luiz Dobarrio de Paiva, Darcio Sayad Maia, Dilson Sayad Maia, Economus Participacoes Ltda., Edmundo Mascarenhas Amaral Valente, Fernando Fernandes Lima de Freitas, Jose Guilherme do Amaral Meirelles, Lygia Lopes Correia da Silva, Maria Clara Vieira Garcia, Maria Helena Guimaraes, Mario de Barros Duarte Garcia, Sergio Abdalla Kalil, Sergio Ribeiro Pacheco de Castro, Tomaz Grisanti de Moura, Jhb Administracao e Participacoes Ltda.
Alkaserv Servicos Ltda.;Alexandre Borloni
Penascal Engenharia e Construcao Ltda.;Alexandre Bussab
Infravias Construcoes e Servicos Ltda.;Alexandre Caio Pereira Martins, Antonio Carlos Pereira Martins
Imigrantes Mercantil Ltda.;Alexandre Carlos de Campos
Ggp Associados & Consultoria Contabil S/S;Alexandre Couto Guimaraes, Jose Messias Costa da Silva
Microcervejaria Nacional Ft Ltda.;Alexandre Cymes, Antonio Carlos Nogueira, Glauco Ciasca Niero, Jose Eduardo Rocha de Toledo, Luis Fernando Von Rainer Fabiani, Marcus de Oliveira Ribas, Maria Ivone Gabriotti de Souza, Martha Hanae Hiromoto, Peter Jose de Jancso, Sergio Ricardo Laurito Gagliardi
Bm Servicos Administrativos Ltda. (São Paulo);Alexandre da Silva Augusto
Ams Capital Ltda.;Alexandre de Almeida Janny Teixeira, Daniel Kim Ting, Diana Gandelman Weiss, Edson Maioli, Ezra Moise Safra, Guilherme Figueiredo, Gustavo Bolognesi, Jose Pedro de Barros Pradez, Luiz Felipe Afonso Caetano, Marcus Vinicius Brazao Fadul, Murilo Furtado de Albuquerque Cavalcanti, Nelson dos Santos Netto, Pedro Bertelli Floriani, Pietro Scodiero Consonni, Rodrigo Storti Peres
A.L.B.Comercio de Alimentos Ltda.;Alexandre de Fraia Blotta, Felipe Affonso dos Santos Blotta
Baker Tilly 4Partners Auditores Independentes S/S;Alexandre de Labetta Filho, Cristiano Seabra Di Girolamo, Fabio Marchesini, Fabio Rodrigo Muralo, Fabio Torres Rodrigues, Juliana Machado de Freitas, Leonardo Boiani Antoniazzi, Nelson Varandas dos Santos, Renato Ruiz Filiciano da Silva, Ricardo Afonso Parra
Information Brazil Viagens, Turismo e Intercambio Cultural Ltda.;Alexandre de Lima Pucci
Catraca Livre Portal e Comunicacao Ltda.;Alexandre de Maio, Erika Cristina Domingues Vieira, Gabriel Dimenstein, Giuliano Gentile Sempreboni, Marcos Dimenstein, Serendipity Administradora de Negocios Sociais Ltda.
Paulisteel Comercial de Ferro e Aco Ltda.;Alexandre de Melo, Fabio Escobar Lopes, Jose Alberto Veiga Lopes, Michel Escobar Lopes, Sergio Ferreira de Melo
Drogaria Delmar Ltda. Filial;Alexandre Della Coletta, Espirito Santo Gestao de Participacoes Societarias Ltda.
Farmacia Drogaromero Ltda. - em Recuperacao Judicial em Recuperacao Judicial;Alexandre Della Coletta, Espirito Santo Gestao de Participacoes Societarias Ltda. - em Recuperacao Judicial em Recuperacao Judicial
Drogaria Delmar Ltda. - em Recuperacao Judicial em Recuperacao Judicial;Alexandre Della Coletta, Espirito Santo Gestao de Participacoes Societarias Ltda. - em Recuperacao Judicial em Recuperacao Judicial
Levy e Salomao-Advogados;Alexandre Ditzel Faraco, Ana Carolina Zamprogno de Lima Goncalves, Ana Cecilia de Oliveira Giorgi Manente, Ana Gabriela da Costa Carvalho Forsman, Ana Paula Martinez, Andre Toledo Vita Abreu, Andressa Lin Fidelis, Angela Beatriz Paes de Barros Di Franco, Bolivar Barbosa Moura Rocha, Christian Galvao Davies, Eduardo Salomao Neto, Fabio Kupfermann Rodarte, Felipe Machado Kneipp Salomon, Fernando de Azevedo Perazzoli, Isabela de Oliveira Pannunzio, Isabela Schenberg Frascino, Isabella Tanuy Goncalves, Jorge Eduardo Prada Levy, Luiz Felipe Amaral Calabro, Luiz Gustavo Lopez Mide, Luiz Roberto de Assis, Marcos Drummond Malvar, Mariana Tavares de Araujo, Marjorie Gressler Afonso, Nicholas Schiappacasse Cruz, Pedro Araujo Chimelli, Pedro Campos Ferraz, Rafael Zabaglia, Renato Din Oikawa, Samilla Gabriella Souza Macedo, Saulo Benigno Puttini, Victor de Assis Vidal, Vinicius Branco
Trexcon Sistemas e Automacao Ltda.;Alexandre dos Santos Garcia, Eloy de Sousa, Fabio de Carvalho Barbi
Top 5 Fitness Comercio e Servicos Esportivos Ltda.;Alexandre Estevam Moretti, Rodrigo Cesar Sao Joao, Super Empreendimentos e Participacoes S.A.
Aztlan Industria de Eletroeletronicos Ltda.;Alexandre Francoso Rodrigues Bighetti, Joao Carlos Rodrigues Bighetti, Sonia Amalia Santurino Ampuero
Gr Blindados Prestacao de Servicos Especiais Automotivos Ltda.;Alexandre Fujioka Yamamoto
Rdo Diagnosticos Medicos Ltda.;Alexandre Galeno Branco Luz, David Baptista da Silva Pares, Luiz Guilherme de Carvalho Hartmann, Mateus Maldonado Carriero, Paulo Alexandre Chinen, Regina Biasoli Kiyota, Ricardo Manoel de Oliveira, Toshiro Tomishige
Anhembi Industria e Comercio de Borracha Ltda.;Alexandre Giacomini Gobbetti, Celio Gobbetti Junior, Sandra do Carmo Giacomini Gobbetti
